aligner,read_length,mapq,step,count
graph_15_5,60,60,post_lift,72625
graph_19_5,60,0,post_lift,95397
graph_19_5,60,5,post_lift,88160
graph_19_5,60,10,post_lift,87695
graph_19_5,60,15,post_lift,87295
graph_19_5,60,20,post_lift,84596
graph_19_5,60,25,post_lift,81686
graph_19_5,60,30,post_lift,80262
graph_19_5,60,35,post_lift,78677
graph_19_5,60,40,post_lift,77479
graph_19_5,60,45,post_lift,75949
graph_19_5,60,50,post_lift,73841
graph_19_5,60,55,post_lift,72251
graph_19_5,60,60,post_lift,70555
bwa_aln,60,0,post_lift,87178
bwa_aln,60,20,post_lift,74046
bwa_aln,60,30,post_lift,68747
graph_15_5,70,0,post_lift,95553
graph_15_5,70,5,post_lift,90347
graph_15_5,70,10,post_lift,89959
graph_15_5,70,15,post_lift,89685
graph_15_5,70,20,post_lift,87383
graph_15_5,70,25,post_lift,84887
graph_15_5,70,30,post_lift,83689
graph_15_5,70,35,post_lift,82715
graph_15_5,70,40,post_lift,81912
graph_15_5,70,45,post_lift,80930
graph_15_5,70,50,post_lift,79620
graph_15_5,70,55,post_lift,78794
graph_15_5,70,60,post_lift,77983
graph_19_5,70,0,post_lift,96090
graph_19_5,70,5,post_lift,90568
graph_19_5,70,10,post_lift,90184
graph_19_5,70,15,post_lift,89884
graph_19_5,70,20,post_lift,87573
graph_19_5,70,25,post_lift,85102
graph_19_5,70,30,post_lift,84114
graph_19_5,70,35,post_lift,83205
graph_19_5,70,40,post_lift,82326
graph_19_5,70,45,post_lift,81268
graph_19_5,70,50,post_lift,79744
graph_19_5,70,55,post_lift,78784
graph_19_5,70,60,post_lift,77817
bwa_aln,70,0,post_lift,88903
bwa_aln,70,20,post_lift,78250
bwa_aln,70,30,post_lift,74415
